Question title,Question Image,ID,Answer,Band,recommended time,Module
Past HSC 2017 - Q3,,1,A,3,2,6
Past HSC 2017 - Q4,,2,B,3,2,5
Past HSC 2017 - Q5,,3,A,3,2,6
Past HSC 2017 - Q6,,4,B,3,2,5
Past HSC 2017 - Q7,,5,D,3,2,8
Past HSC 2017 - Q8,,6,B,3,2,8
Past HSC 2017 - Q9,,7,D,3,2,7
Past HSC 2017 - Q10,,8,C,3,2,6
Past HSC 2017 - Q11,,9,A,3,2,7
Past HSC 2017 - Q12,,10,A,3,2,6
Past HSC 2017 - Q13,,11,C,3,2,6
Past HSC 2017 - Q14,,12,B,3,2,5
Past HSC 2017 - Q15,,13,C,3,2,6
Past HSC 2017 - Q16,,14,A,3,2,6
Past HSC 2017 - Q17,,15,B,3,2,5
Past HSC 2017 - Q18,,16,D,3,2,6
Past HSC 2017 - Q19,,17,B,3,2,6
Past HSC 2017 - Q20,,18,C,3,2,6
Past HSC 2017 - Q21,,19,C,3,2,6
Past HSC 2017 - Q22,,20,D,3,2,7
HSC Physics 2022 - Q1,,21,B,3,2,8
HSC 1 Mod 5 Physics - Q1,,22,C,3,2,5
HSC 1 Mod 5 Physics - Q2,,23,C,3,2,5
HSC 1 Mod 5 Physics - Q3,,24,C,3,2,5
HSC 1 Mod 5 Physics - Q4,,25,B,3,2,5
HSC 1 Mod 5 Physics - Q5,,26,B,3,2,5
HSC 1 Mod 5 Physics - Q6,,27,A,3,2,5
HSC 1 Mod 5 Physics - Q7,,28,B,3,2,5
HSC 1 Mod 5 Physics - Q8,,29,D,3,2,5
HSC 1 Mod 6 Physics - Q1,,30,A,3,2,6
HSC 1 Mod 6 Physics - Q2,,31,D,3,2,6
HSC 1 Mod 6 Physics - Q3,,32,D,3,2,6
HSC 1 Mod 6 Physics - Q4,,33,C,3,2,6
HSC 1 Mod 6 Physics - Q5,,34,C,3,2,6
HSC 1 Mod 6 Physics - Q7,,35,A,3,2,6
HSC 1 Mod 6 Physics - Q8,,36,A,3,2,6
HSC 1 Mod 7 Physics - Q1,,37,B,3,2,7
HSC 1 Mod 7 Physics - Q2,,38,C,3,2,7
HSC 1 Mod 7 Physics - Q3,,39,B,3,2,7
HSC 1 Mod 7 Physics - Q4,,40,D,3,2,7
HSC 1 Mod 7 Physics - Q5,,41,D,3,2,7
HSC 1 Mod 7 Physics - Q6,,42,A,3,2,7
HSC 1 Mod 7 Physics - Q7,,43,A,3,2,7
HSC 1 Mod 7 Physics - Q8,,44,A,3,2,7
HSC 1 Mod 8 Physics - Q1,,45,D,3,2,8
HSC 1 Mod 8 Physics - Q2,,46,A,3,2,8
HSC 1 Mod 8 Physics - Q3,,47,D,3,2,8
HSC 1 Mod 8 Physics - Q4,,48,A,3,2,8
HSC 1 Mod 8 Physics - Q5,,49,C,3,2,8
HSC 1 Mod 8 Physics - Q6,,50,C,3,2,8
